0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745,27315636.07717745
42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949,42277862.20535949
57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503,57709873.90911503
73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649,73442884.40487649
89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499,89390460.25745499
105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984,105501622.65091984
121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841,121743343.08570841
138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563,138092747.87864563
154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481,154533191.608481
171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198,171052090.65573198
187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633,187639640.89206633
204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454,204288015.14928454
220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006,220990837.66167006
237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712,237742826.72586712
