0;1;2;3;4;5;6;7;8;9
-0.126888609;-0.138914349;-0.152034844;-0.599077346;-0.640554187;-0.656325437;-0.665554826;-0.670472266;-0.67367723;-0.675686405
-0.11572265;-0.12492483;-0.137288171;-0.546071295;-0.588190693;-0.601110905;-0.607670654;-0.610052327;-0.611036426;-0.610817986
-0.105053814;-0.111823734;-0.12213375;-0.49522177;-0.537568487;-0.547840232;-0.551418857;-0.551469794;-0.550168386;-0.547967058
-0.094563127;-0.09917306;-0.10621872;-0.445896602;-0.488336508;-0.495690344;-0.496567642;-0.493937916;-0.490018448;-0.485702048
-0.08426503;-0.0868774;-0.086947811;-0.397510066;-0.439831909;-0.443956344;-0.441329057;-0.435898208;-0.428936972;-0.421457878
-0.074276699;-0.074942125;-0.072283083;-0.34922781;-0.390289462;-0.390463404;-0.383428416;-0.372646504;-0.359308629;-0.343499325
-0.064389315;-0.063105685;-0.058113568;-0.297820632;-0.336435731;-0.329725624;-0.311638925;-0.281890957;-0.232466131;-0.108819021
-0.054630383;-0.051507575;-0.045090468;-0.039220234;-0.266412771;-0.230264644;-0.107025255;0.013148437;0.026315376;0.035966605
-0.045061945;-0.040306863;-0.031546935;-0.01977587;-0.004323921;0.006064033;0.020992493;0.035316332;0.046491089;0.055574973
-0.035523492;-0.028756561;-0.01649771;-0.000288725;0.014079154;0.026119417;0.036253187;0.04643055;0.058277039;0.068851694
-0.025495449;-0.015879033;0.000356251;0.015268766;0.028638495;0.039819541;0.04942031;0.058511009;0.066919369;0.076473343
-0.014552466;-0.001761649;0.013571322;0.027463983;0.03926829;0.050194342;0.059880366;0.068592181;0.076424143;0.083532582
-0.002903746;0.010024806;0.023601298;0.036309464;0.047885801;0.058296654;0.067650705;0.076101122;0.08374129;0.090614034
0.006538615;0.018545571;0.031060871;0.04294255;0.053939273;0.063967705;0.073072131;0.081309969;0.088770307;0.095643771
